"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
NOTE: discipline vs domain could benefit from some more clarification in order to align the various entries/definitions,,,,,,,,,,,,,,,,,,,,,
NOTE: for most governance-related terms the definitions may have to be aligned before a final selection can be made,,,,,,,,,,,,,,,,,,,,,
access,,to be checked by all ,protocol for availability of research data and services to users,"OSCARS Glossary TaskForce 2026, based on several sources, incl. ESFRI Report on Access to Research Infrastructures and Charter on Access to RIs;     https://zenodo.org/doi/10.5281/zenodo.10533244 ",,2026-09-02,,,,select,,,Access,access,,,,"The ESFRI report distinguishes a diversity of access types (physical, remote, virtual) ad nature of services offered. Access policies (open, restricted) is dependent on a range of conditions, including ownership and sensitivity issues.","Listed in the Access Charter:  machine time, computing resources, software, data, data-communication services, trust and authentication services, sample preparation, archives, collections, the set-up, execution and dismantling of experiments, education and training, expert support and analytical services",,
administrative metadata,,,metadata​ necessary to allow the proper management of a ​resource​ in a ​repository​.,EOSC Glossary September 2020,"ISO/TR 14873:2013, modified –– reference to metadata instead of information; Note 1 to entry has been broken up into independent concepts; reference to resource instead of digital objects.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,"Important for management of investigation data
JLL: Fundamental for research data management. SELECT directly.",AdministrativeMetadata,administrative metadata,,metadata,metadata​ necessary to allow the proper management of a ​resource​ in a ​repository​.,"Administrative metadata can be categorised as ​provenance or context metadata​, ​technical​ and ​rights metadata​.",,,
Authentication and Authorisation Infrastructure,AAI,,"service (or distributed set of services) which enables users to be identified and to access protected information, other services or functionality.",EOSCFuture project glossary,,2024-03-29,Franciska de Jong Joaquin Lopez Alberto IessLorenz Makula MN,,,select,,,AuthenticationAndAuthorisationInfrastructure,Authentication and Authorisation Infrastructure,AAI,service,"A service (or distributed set of services) which enables users to be identified and to access protected information, other services or functionality.",,,,
certified repository,,,"digital data archive that has been evaluated and approved by an independent authority to meet standards for reliability, data integrity, and long-term preservation.","OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong FF,,,select,can be rediscussed after first release,Include reference to e.g. TRUST?   FdJ: To be checked if there is an OSCARS source that provides a better definition,CertifiedRepository,certified repository,,repository,,"Repository certification, such as CoreTrustSeal, offers to any interested data repository a core level certification based on the Core Trustworthy Data Repositories (TDR) requirements.",,,
competence centre,,,virtual hub dedicated to fostering research excellence through training and knowledge transfer. ,https://oscars-project.eu/clusters-open-science-competence-centres,,2026-07-03,Franciska de Jong Joaquin Lopez Alberto IessLorenz Makula MN,,,select,,Earlier definition adjusted to match the ISO standards,CompetenceCentre,competence centre,,,,"Specifically in the context of OSCARS: community-based initiative supported by a collaborative science cluster network of people providing expertise, best practices and services in relation to Open Science, and the promotion of cross-disciplinary collaboration.",,,
component,,to be checked by all ,resource that functions independently but that can be easily assembled or reconfigured with other resources to create new workflows or applications.                   ,"OSCARS Glossary TaskForce 2026, based on several sources, incl. OSCARS D2.1 - Clusters' Services and Data Sources Portfolios; https://zenodo.org/records/14881627",,2026-09-02,,,,select,,,Component,component,,,,,,,
composability,,,"ability to combine and integrate smaller, modular components or services into more complex systems",OSCARS D2.1 - Clusters' Services and Data Sources Portfolios; https://zenodo.org/records/14881627,,2026-07-03,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,,Composability,composability,,,,,,,
data,,,"codified, fixed and transmissible information, that may be arranged for automatic processing",https://www.wikidata.org/wiki/Q42848,,2026-07-23,Franciska de Jong Joaquin Lopez  IMS  MN,Alberto Iess,Lorenz Makula,select,can be rediscussed after first release; ,"FdJ: we need 'data' in the set of terms  to be able to express links with other terms; 'digital data' now also added;  FdJ: Earlier definition adjusted because in the context of EOSC ""data"" is not only digital (as mentioned by MN and IvdL).",Data,data,,component,,"In the ​EOSC ecosystem​ (research) data can be digital, analogue or heterogenous in nature.","Sequences of bits, code, measurements, text, recordings,  ",,
data curation,,,"managed process, throughout the ​data life-cycle​, by which ​data are cleansed, documented, standardized, formatted and interrelated. ",EOSC Glossary September 2020,"ISO 5127:2017, modified –– reference to data instead of data/data collections.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,,,DataCuration,data curation,,data,"managed process, throughout the ​data life-cycle​, by which ​data are cleansed, documented, standardized, formatted and interrelated. ",,,,
data infrastructure,,,digital infrastructure​ enabling ​services​ for supporting the ​data life-cycle​.,"OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess,,,select,can be rediscussed after first release,"FdJ: definition adjusted to EOSC context; ICT removed from definition
",DataInfrastructure,data infrastructure,,data,,,,,
data life-cycle,,,all stages in the existence of ​data​ from creation to destruction.,EOSC Glossary September 2020,"RDA DFT IG. (2019). Term Definitions Version 4.0 ""Philadelphia"". https://smw-rda.esc.rzg.mpg.de/dft-4.0.html​, modified –– reference to data instead of digital information; ​following the comments​ the concept has been added.",2020-09-01,Joaquin Lopez Alberto IessLorenz Makula,Franciska de Jong,,select,can be rediscussed after first release,,DataLifeCycle,data life-cycle,,data,all stages in the existence of ​data​ from creation to destruction.,,,,
data management,,,"activities of defining, creating, storing, maintaining and providing access to ​data​ and associated processes in one or more information systems.",EOSC Glossary September 2020,ISO/IEC TR 10032:2003.,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,,,DataManagement,data management,,data,"activities of defining, creating, storing, maintaining and providing access to ​data​ and associated processes in one or more information systems.",,,,
data management plan,DMP,,document describing the data that is used and produced during the course of research activities.,"OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-23,Franciska de Jong,,,select,,FdJ: added after consensus process; one of the sources: https://www.rd-alliance.org/groups/dmp-common-standards-wg/outputs/?output=94576,DataManagementPlan,data management plan,DMP,data management,,"A variant is the notion of machine-actionable DMP (maDMP): a structured digital format for research data plans that allows systems and tools to automatically rprocess project information and to enable the exchange of information between systems acting on behalf of stakeholders involved in the research life cycle, such as, researchers, funders, repository managers, ICT providers, librarians, etc.",,,
data stewardship,,,formalized ​data management and oversight of an ​organization​'s ​data (by a data steward) to help provide ​end-users​ with high-quality data that is easily accessible in a consistent manner.,EOSC Glossary September 2020,"RDA DFT working group. (2019). DFT Vocabulary 4.0 Philadelphia. https://smw-rda.esc.rzg.mpg.de/dft-4.0.html​, modified –– reference to data management instead of management; reference to data instead of data assets/resources; reference to end-users instead of business users.",2020-09-01,"Franciska de Jong, Joaquin Lopez Lorenz Makula IMS Alberto Iess MN",,,select,,,DataStewardship,data stewardship,,data management,formalized ​data management and oversight of an ​organization​'s ​data (by a data steward) to help provide ​end-users​ with high-quality data that is easily accessible in a consistent manner.,"A DMP specifies where the data will be archived, which licenses and constraints apply, to whom credit should be given, etc.",,,
descriptive metadata,,,metadata​ about the content of a ​resource​ that aids in finding or understanding it.,EOSC Glossary September 2020,"Riley, J., & National Information Standards Organization (U.S.). (2017). Understanding metadata: What is metadata, and what is it for? http://www.niso.org/publications/understanding-metadata-riley​, modified –– reference to resource.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS MN,,,select,,,DescriptiveMetadata,descriptive metadata,,metadata,metadata​ about the content of a ​resource​ that aids in finding or understanding it.,,,,
digital data,,,information in digital form,"OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong,,,select,can be rediscussed after first release,FdJ: seleted to cover the terms related to data more completely,DigitalData,digital data,,data,,,,,
digital infrastructure,,,infrastructure constituted by a physical layer (hardware) and an abstraction layer (software) that is based on the physical one.,EOSC Glossary September 2020,,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess,,,select,can be rediscussed after first release,"FdJ: not very specific, but as indictaed by MN, needed for the relation with data infrastrcuture",DigitalInfrastructure,digital infrastructure,,,infrastructure constituted by a physical layer (hardware) and an abstraction layer (software) that is based on the physical one.,"Digital infrastructures, unlike physical ones, are generative: they can be used recursively to create new digital infrastructures.",,,
digital object,,,"any kind of digital resource (in particular scholarly objects) made available through network access, interactive databases, software, and workflows.",,,2020-09-01,Franciska de Jong  Lorenz Makula IMS,Joaquin Lopez,,select,can be rediscussed after first release,"to be checked if this part from column F can be deleted: Kahn, R. E., & Ely, D. K. (2000). ​United States Patent: 6135646 - System for uniquely and persistently identifying, managing, and tracking digital objects​ (Patent No. 6135646). http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fn etahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6,135,646.PN.&OS=PN/6,135,646&RS= PN/6,135,646​, modified –– reference to data instead of sequences of bits or digits; Note 1 to entry has been added; Corcho, O., Eriksson, M., Kurowski, K., Ojsteršek, M., Choirat, C., Sanden, M. van de, & Coppens, F. (2020). ​EOSC Interoperability Framework​ (Draft for Community Consultation v1.0). EOSC Executive Board, FAIR Working Group and Architecture Working Group; ​following the comments​ the concept has been added.",DigitalObject,digital object,DO,data,any set of ​data​ and an associated unique identifier.,"A digital object allows to bind all critical information about any entity together, including ​research data​, software, scientific workflows, hardware designs, protocols, provenance logs, publications, presentations, etc., as well as all their ​metadata​ (for the complete object and for its constituents).",,,
domain repository,,see cell A3,data repository​ with records for a specific discipline or disciplinary domain,"OSCARS Glossary TaskForce 2026, based on several sources",EOSC Glossary September 2020,2026-07-13,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,select,can be rediscussed after first release,"JLL: Related to thematic/disciplinary repositories — DISCUSS. IvdL: According to ISO, we should define concepts starting with the superordinate concept, in this case ""data repository"". [FdJ: done, but: still lookimg fot a way to link to  ""thematic"" . }",DomainRepository,domain repository,,research data repository | thematic service,,,,,
e-infrastructure,,,infrastructure enabling digital services for data- and computing-intensive research in virtual and collaborative environments. ,"OSCARS Glossary TaskForce 2026, based on several sources",EOSC Glossary September 2020,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS,,,select,can be rediscussed after first release,"FdJ: the definition couldbe adjusted to underline the generic (vs. thematic) nature of the infra 
JLL: LifeWatch is an e-infrastructure. Propose SELECT.
MN: please don't use ICT in definition without explaining it; FdJ: ICT ref removed; still to be adjusted to distinction 'generic vs. thematic'",EInfrastructure,e-infrastructure,,,,,,,
ENVRI,,,"European network of environmental research infrastructures, projects, and stakeholders working together to advance environmental research",https://envri.eu/,,2026-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,,select,,,Envri,ENVRI,,science cluster,,,,,
EOSC Association,EOSC-A,see cell A3; creation of a domain: EOSC Association?,international non-profit organisation (AISBL) based in Brussels to represent the interest of the EOSC stakeholder community. ,EOSCFuture project glossary,,2024-03-29,Franciska de Jong Joaquin Lopez Lorenz Makula IMS MN,,,select,,"FdJ: definition  to be checked against definition in EOSC Handbook 2026; see page.16 |
Multiple entirs; retain only one |  IvdL: Propose to add the second part to the Notes field.  FdJ: done",EoscAssociation,EOSC Association,EOSC-A,,An international non-profit organisation (AISBL) based in Brussels to represent the interest of the EOSC stakeholder community. The association is a partner with the European Commission in the EOSC Partnership and has developed and will continuously update a Strategic Research and Innovation Agenda (SRIA) to advise the European Commission on the development and implementation of EOSC.,The association is a partner with the European Commission in the EOSC Partnership and has developed and will continuously update a Strategic Research and Innovation Agenda (SRIA) to advise the European Commission on the development and implementation of EOSC. | Domain: EOSC Association,,eoscG2020:EoscAssociation,
EOSC Board of DIrectors,,see cell A3; creation of a domain: EOSC Association?,body of representatives of the EOSC Association that is responsible for the day-to-day operational management of the EOSC Association. The board reports to the general assembly.,https://eosc.eu/eosc-association/board-directors,,2020-07-01,Franciska de Jong,,,select,,,EoscBoardOfDirectors,EOSC Board of Directors,,,,,,,
EOSC Exchange,,,"the set of services, datasets and other
research products collectively provided by EOSC Nodes and made accessible through
the EOSC Federation.",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30,Lorenz Makula Franciska de Jong Joaquin Lopez MN,,,select,,,EoscExchange,EOSC Exchange,,,,,,,
EOSC Federation,,see cell A3,"network of EOSC Nodes that collectively integrate their resources to provide shared system-level functions, known as Federating Capabilities. ",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula MN,,,select,,FdJ: Earlier definition adjusted to match the ISO standards,EoscFederation,EOSC Federation,,,,"The EOSC Federation is a system of systems, built as a
distributed network of services to enable Open Science across disciplinary and national borders. | The Federating Capabilities include a common catalogue for resource discovery, a federated user login system (AAI), and coordinated monitoring. ",,,
EOSC Federation Handbook,,,document describing the organisational and operational structure and technical characteristics of the EOSC Federation.,https://eosc.eu/building-the-eosc-federation/eosc-federation-handbook; see also: https://zenodo.org/records/18454649,,2026-07-13,Franciska de Jong FF,,,select,can be rediscussed after first release,FdJ: added during consensus process. ,EoscFederationHandbook,EOSC Federation Handbook,,EOSC Federation,,,,,
EOSC General Assembly,,see cell A3; creation of a domain: EOSC Association?,"the supreme authority of the EOSC Association, composed of one delegate per member with voting rights and one representative per observer without voting rights.",https://eosc.eu/members,,2026-07-13,Franciska de Jong FF,,,select,can be rediscussed after first release,FdJ: added during consensus process,EoscGeneralAssembly,EOSC General Assembly,,,,,,,
EOSC Horizon Europe project,,,project funded under Horizon Europe to support the implementation of EOSC.,"OSCARS Glossary TaskForce 2026, based on several sources; ",,2026-07-13,Franciska de Jong FF,,,select,can be rediscussed after first release,"FdJ: added during consensus process; IvdL: Propose to improve the definition as "" project funded under the Horizon Europe programme to support the implementation of EOSC"". FdJ: done",EOSCHorizonEuropeproject,EOSC Horizon Europe project,,,,See also: https://eosc.eu/horizon-europe-projects,,,
EOSC Interoperability Framework ,EOSC IF,,extensible framework of guidelines that define the technical requirements to implement the interoperability and composability of the EOSC Federated resources. ,EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30,Franciska de Jong Lorenz Makula Joaquin Lopez,,,select,,"IvdL: definition is too extensive, the second part should be added to the Notes field. EOSC IF is the acronym and should be listed as an exact match. In the Notes mention that ""EOSC IF promotes standards and best practices while allowing providers the freedom to develop and operate provider-specific implementations that conform to its guidelines"". (left out "" is a reference framework"" from the second part, not necessary, already defined) FdJ: adjusted",EoscInteroperabilityFramework,EOSC IF,EOSC-IF,,,EOSC IF promotes standards and best practices while allowing providers the freedom to develop and operate provider-specific implementations that conform to the EOSC IF guidelines and standards.,,,
EOSC knowledge hub,,,curated collection of resources supporting EOSC users and stakeholders in understanding and contributing to EOSC.,EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess,,,select,can be rediscussed after first release,"FdJ: Definition update welcome. MAybe leave out for now? 
MN: EOSC Knowledge Hub?  FdJ: better indeed; adjusted accordingly",EoscKnowledgeHub,EOSC knowledge hub,,,A curated collection of resources supporting EOSC users and stakeholders in understanding and contributing to EOSC.,,,,
EOSC Mandated Organisation,,see cell A3; creation of a domain: EOSC Association?,​EOSC-A member​ appointed by the governement of a country to represent the national interests in EOSC. ,adapted from https://eosc.eu/eosc-association/mandated-organisations,"EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​.",2026-07-03,Franciska de Jong Joaquin Lopez,,Lorenz Makula Alberto Iess MN,select,can be rediscussed after first release,,EoscMandatedOrganisation,EOSC Mandated Organisation,,EOSC Member,Member​ appointed by a Member State or an Associated Country to represent national interests,,,,
EOSC Member,,see cell A3; creation of a domain: EOSC Association?,European ​legal entity​ admitted to the ​EOSC Association​ with full voting rights in the General Assembly.,"OSCARS Glossary TaskForce 2026, based on several sources; see also https://eosc.eu/members","EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​.",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,,,select,can be rediscussed after first release,FdJ: term 'Member' changed into  'EOSC Member'; 'European-only' adjusted ,EoscMember,EOSC Member,,,European-only ​legal entity​ admitted to the ​EOSC Association​ with full rights,,,,
EOSC national tripartitie events,,see cell A3; creation of a domain: EOSC Association?,series of events organised by the EOSC-A to more deeply engage the Member States and the Associated Countries in EOSC,https://eosc.eu/tripartite-collaboration,,2026-07-23,Franciska de Jong ,,,select,,FdJ: added after consensus process. ,EoscNationalTripartitieEvent,EOSC national tripartitie event,,EOSC Tripartite Governance,,Post-event reports and presentations from these events can be found on the individual country pages.,,,
EOSC Node,,,"organisation that complies with the EOSC Federation policies and legal framework, and shares resources at the local, national, regional, thematic or European level. ",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,,,select,,FdJ: adjusted to comply with ISO standard,EoscNode,EOSC Node,,,,"An EOSC Node offers resources that provide added value to the EOSC Federation and implements Federating Capabilities in collaboration with other EOSC Nodes. Each EOSC Node is responsible for its autonomy, governance and resources. It operates its own platform, complying with the EOSC IF technical framework, and the EOSC Node architecture.",,,
EOSC Observer,,see cell A3; creation of a domain: EOSC Association?,​legal entity​ admitted to the ​EOSC Association​ with limited rights.,EOSC Glossary September 2020,"EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​",2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,,,select,,FdJ: term 'Observer' changed into  'EOSC Observer',EoscObserver,EOSC Observer,,,​legal entity​ admitted to the ​EOSC Association​ with limited rights,An Observer can not vote at the ​General Assembly​ or propose candidates for the ​Board​.,,,
EOSC Opportunity Area Expert Groups,,see cell A3; creation of a domain: EOSC Association?,mechanism for collaboration on technical and related matters within the Horizon Europe Co-programmed Partnership for EOSC.,https://eosc.eu/eosc-opportunity-area-expert-groups,,2026-07-13,,Franciska de Jong,,select,can be rediscussed after first release; note that the role of OA groups may change in the near future,FdJ: added after consensus process,EoscOpportunityAreaExpertGroups,EOSC Opportunity Area Expert Groups,,,,,,,
EOSC Partnership,,see cell A3; creation of a domain: EOSC Association?,co-programmed European Partnership between the EOSC Association and the European Commission that consolidates the outputs of EOSC projects from Horizon2020 and further develops EOSC.,EOSC Glossary September 2020,EOSC Executive Board. (2020). Draft proposal for a European Partnership under Horizon Europe European Open Science Cloud (EOSC) Partnership. https://ec.europa.eu/info/sites/info/files/research_and_innovation/funding/documents/ec_rtd_he- partnership-open-science-cloud-eosc.pdf​.,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,,,select,can be rediscussed after first release,minor adjustment from source to align with ISO,EoscPartnership,EOSC Partnership,,European Partnership,co-programmed European Partnership between the ​EOSC Association​ and the European Commission that will consolidate the outputs of EOSC projects from Horizon 2020 and further develop ​EOSC​ through structured funding in Horizon Europe and in-kind contributions from the member countries and ​stakeholders​.,"The EOSC Partnership is funded through structured funding under Horizon Europe and in-kind contributions from member countries and stakeholders. | For details, see the EOSC Federation Handbook",,eoscFut:EoscPartnership,
EOSC research product catalogue,,,"catalogue of digital objects created during the research lifecycle, such as publications, datasets, and software that facilitates discovery and access to research products registered within the EOSC Federation.","OSCARS Glossary TaskForce 2026, based on several sources",,2026-07-13,Franciska de Jong,,,select,,FdJ: added during consensus process;  ,EoscResearchProductCatalogue,EOSC research product catalogue,,EOSC resource catalogue,,,,,
EOSC resource catalogue,,,"catalogue of all EOSC resources, the result of integrating the EOSC service catalogue and the EOSC research product catalogue.",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-07-13,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,IMS,MN,select,can be rediscussed after first release,FdJ: several comments integrated,EoscResourceCatalogue,EOSC resource catalogue,,,,The catalogue is hosted by the EU Node and enables the discovery and access of resources provided through EOSC Nodes within the EOSC ,,,
EOSC resource provider,,,organisation making a resource available by onboarding it to an EOSC Node.,EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30, Lorenz Makula Joaquin Lopez Alberto Iess,Franciska de Jong,IMS,select,can be rediscussed after first release,"IMS: kind of self-explanatory with definition of Resource; FdJ: I tend to agree, but depends on the entire set of related  terms /definitions",EoscResourceProvider,EOSC resource provider,,,,,,,
EOSC Secretariat,,see cell A3; creation of a domain: EOSC Association?,"body that supports the Board and the General Assembly of the EOSC Association, by advising them and coordinating and implementing their decisions.",https://eosc.eu/eosc-association/secretariat,,2026-07-03,Franciska de Jong Joaquin Lopez Alberto Iess,,MN,select,can be rediscussed after first release,FdJ: several comments integrated,EoscSecretariat,EOSC Secretariat,,,,,,,
EOSC service catalogue,,,"catalogue for EOSC Node service providers to describe their service offerings using
a service metadata profile. ",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-07-13,Franciska de Jong Joaquin Lopez Lorenz Makula,,,select,can be rediscussed after first release,FdJ: tobe revisted: catalogue for  vs. catalogue of,EoscServiceCatalogue,EOSC service catalogue,,EOSC resource catalogue,,,,,
EOSC Tripartite Governance,,see cell A3; creation of a domain: EOSC Association?,"strategic coordination structure between the EU, represented by the Commission, the EOSC Association, and the Member States and Associated Countries to resource and support the implementation of the EOSC environment in Europe.",https://eosc.eu/tripartite-collaboration,,2026-07-13,Franciska de Jong FF,,,select,can be rediscussed after first release,,EoscTripartiteGovernance,EOSC Tripartite Governance,,,,The aim is: advancing the Open Science system and aligning national and EU policies to improve the production of FAIR research output. | The Member States and Associated Countries are represented by the EOSC Steering Board.  ,,,
EOSC user ,,,person who is granted access to the EOSC Federation resources based on the recognition of their identity by a service provider registered with the EOSC AAI system ,EOSC Federation Handbook (shortened); https://zenodo.org/records/18454649; ,,2026-06-30,Alberto Iess Franciska de Jong,, Lorenz Makula,select,can be rediscussed after first release,"FdJ: duplicate created; need to decide which one of the two works best; we can also reject the entry in any version . AI: I think we need to have a definition of EOSC user. IvdL:  According to ISO, a definition should start with a noun that names the kind of entity the concept belongs to. The last part of the definion is a bit redundant. Propose to make it more concise [FdJ: suggestion for shortening adopted] ",EoscUser,EOSC user,,,,,,,
EOSC Work Programme,,,strategic planning document which outlines the specific EOSC implementation activities to be funded by the European Commission under Horizon Europe.,EOSCFuture project glossary,https://www.eosc.eu/sites/default/files/EOSC-SRIA-V1.0_15Feb2021.pdf,2021-02-15,Franciska de Jong Joaquin Lopez Alberto Iess,Lorenz Makula,,select,can be rediscussed after first release,FdJ: check needed for a more recent definition ,EoscWorkProgramme,EOSC Work Programme,,,A strategic planning document which outlines the specific EOSC implementation activities to be funded by the European Commission under Horizon Europe.,,,,
EOSC-A Task Forces,,see cell A3; creation of a domain: EOSC Association?,expert groups that liaise with the EOSC-related Horizon Europe projects and the EOSC Opportunity Area Expert Groups to offer input and recommendations on targeted areas of EOSC’s development.,https://eosc.eu/eosc-association/eosc-task-forces,,2026-07-13,MN Franciska de Jong,,,select,can be rediscussed after first release,"FdJ: added during consensus process; IvdL: the term is in plural of form, should be in the singular. FdJ: for this case deviation from the default (singular) can be justified",Eosc-aTaskForces,EOSC-A Task Forces,,,,,,,
ESCAPE,,,collaborative cluster of next generation European infrastructural facilities in the area of astronomy- and accelerator-based particle physics aimed at implementing a functional link with the European Open Science Cloud (EOSC).,https://projectescape.eu/about-us,,2026-06-30,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,,,select,,,Escape,ESCAPE,,science cluster,,,,,
EU Node,,,"fully operational platform providing access to a portfolio of professional-quality
research services and resources and enabling with Federating Capabilities the development of
the EOSC Federation.",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-07-02,Franciska de Jong Lorenz Makula IMS Joaquin Lopez Alberto Iess MN,,,select,,,EuNode,EU Node,,EOSC Node,,,,,
European Open Science Cloud,EOSC,,"European initiative to develop a ‘Web of FAIR Data and Services’ for science in Europe where researchers can publish, find and re-use data, tools and services, enabling them to better conduct their work.",https://eosc.eu/eosc-about,,2026-07-03,Franciska de Jong  Joaquin Lopez Alberto Iess MN,,,select,,minor adjustment from source  to match ISO standard,Eosc,European Open Science Cloud,EOSC,,,,,,
European Partnership,,,initiative in which the EU Commission and private and/or public partners commit themselves to jointly support the development and implementation of a research and innovation program.,https://www.era-learn.eu/partnerships-in-a-nutshell/european-partnerships,,2026-07-23,Franciska de Jong,,,select,,FdJ: added after consensus process to fill semantic gap,EuropeanPartnership,European Partnership,,,,,,,
FAIR data,,,data​ that conform to the ​FAIR principles​.,EOSC Glossary September 2020,,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,,,FairData,FAIR data,,data,data​ that conform to the ​FAIR principles​.,,,,
FAIR digital object,,,"autonomous, machine-actionable digital object that packages data together with essential metadata, globally unique PIDs, and operational rules.","OSCARS Glossary TaskForce 2026, based on several sources",EOSC Glossary September 2020,2026-07-13,Franciska de Jong Lorenz Makula IMS Joaquin Lopez Alberto Iess,MN,,select,can be rediscussed after first release,,FairDigitalObject,FAIR digital object,FDO,digital object,digital object​ that conforms to the ​FAIR principles​. [SOURCE: RDA DFT working group. (2019). DFT Vocabulary 4.0 Philadelphia. https://smw-rda.esc.rzg.mpg.de/dft-4.0.html​.,,,,
FAIR principles,,,"set of guidelines to make ​data​ Findable, Accessible, Interoperable, and Reusable.",EOSC Glossary September 2020,COMMISSION DECISION of 27.8.2018 Setting up the Expert Group - Executive Board of the European Open Science Cloud ('EOSC') and laying down rules for its financing,2020-09-01,Franciska de Jong Joaquin Lopez Lorenz Makula IMS Alberto Iess MN,,,select,,"FdJ: definition to be adjusted; check against Handbook?
Definition to be adjusted if needed. IvdL: Propose to replace """"set of guiding lines"" with ""set of principles that...""",FairPrinciples,FAIR principles,FAIR Guiding Principles,FAIR data,"set of guiding lines to make ​data​ Findable, Accessible, Interoperable, and Reusable.",,,,
federation capabilities,,,system of services provided by more than one EOSC Node in order to implement the federation of resources in the EOSC Federation,EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-06-30,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess,,,select,,FdJ: Version copied from the EOSC Handbook.  Plural variant selected; singular variant deslected.,FederationCapabilities,federation capabilities,,,,,,,
generic repository,,see cell A2,repository​ directed to all research disciplines. ,EOSC Glossary September 2020,"Wittenburg, P. (2019). Role of Repositories in Research Infrastructure Building [Repository Topic Group Report",2020-09-01,,Franciska de Jong Joaquin Lopez Lorenz Makula,,select,can be rediscussed after first release,"IvdL: ""generic repository'' might be too broad,  could be more specific ''generic research data repository'' if we use it only within research contexts.",GenericRepository,generic repository,,research data repository,repository​ directed to all research disciplines. .],,,,
High Perfomance Computing ,HPC,,"computing designed, marketed, sold, and optimized to execute highly parallel applications for high performance, deep learning, or artificial intelligence applications",ISO: https://www.iso.org/obp/ui/#iso:std:iso-iec:21836:ed-1:v1:en:term:3.1.24,,2026-07-03,Franciska de Jong  Joaquin Lopez Alberto Iess MN,,,select,can be rediscussed after first release,,Hpc,HPC,,,,,,,
